"genes"	"custom_sample1"	"custom_sample2"	"custom_sample3"	"custom_sample4"	"custom_sample5"	"custom_sample6"	"custom_sample7"	"custom_sample8"
"DNAJC11"	9.6512193621387	24.9489830301115	12.675307138253	8.32983726149422	9.08699552998656	7.49284145601371	4.29664612136469	6.88128115561028
"FMO3"	0	3.35573933168174	2.04984640939426	0	0	0	0	0
"MYLIP"	131.956451018578	60.7575144902025	39.469308728463	161.911829906402	91.1042223721225	150.268836808978	77.4835257955769	95.2623267951924
"NOX1"	0	0	0	0	0	0	0	0
"E2F2"	0	0	0	0.406904703817399	0	0	0	0
"PSMB1"	204.765322208476	248.614385837732	188.198084647119	256.086312619605	151.197667144199	178.531989992754	201.245115722861	210.760621797948
"SYN1"	0	0	5.77933816679982	0	0	0	1.31254117466746	0
"JARID2"	33.719034470543	13.8941598111238	88.1947356820271	32.0199718969746	27.8683042909445	6.18248679149101	86.8238991218436	42.222947599272
"CDKL5"	2.2223108707847	0.433062645348192	6.99687344413816	0	0	2.98938638560539	0.803890079225161	0
"CAMK1G"	0	0	0	0	0	0	4.55152647820848	0
"CDK11A"	43.8820039997571	38.0865143969448	26.8679562033847	71.7302720107551	19.6135911007515	65.4662930893028	31.6906282594631	19.4748064874866
"NADK"	11.1793182001899	26.0147539669054	47.7440459963446	23.5317873146079	14.2282573855392	0	32.7783737376159	11.038243029262
"TFAP2B"	0	0	4.16581687211156	0	0	0	0	0
"DLEC1"	0	0	0.581596720945766	0	0	0	0	0
"CYTH3"	0	0	6.39732232977838	3.5044914650885	2.38364665655794	3.64559303316761	8.11180433215716	19.1676860878056
"ADAM22"	5.56415493090669	0	0	0	0	3.63977184073323	0	0
"SYPL1"	161.429013379902	73.803251989251	41.1734112358372	25.9857892156333	56.5425698724597	2.05815537236104	40.0216756636902	28.4022916392233
"CYB561"	0	1.89612127418945	1.30415496997439	2.75701303492131	1.41176237996853	13.792345498062	2.63813521471598	0
"SPAG9"	20.0061172227531	38.557502779852	129.373107389348	22.3562771568363	89.0301207858348	17.3555183661162	118.740255254323	22.7075110989709
"CELSR3"	0	0	0	0	0	0	0	0
"AASS"	0	0	0	0	0	2.8744099427242	0	3.80992757557543
"PLEKHG6"	0	0	0	0	0	0	0	0
"SS18L2"	125.694700994838	43.7779506161217	37.4072455172668	62.5167632394839	97.4317948582191	92.485864155077	56.2936716964421	75.0613575148192
"MPND"	0	9.33294918404787	4.08468816190444	9.04363752851391	0	5.66664289436581	2.23481772550604	0.963111653405378
"MGST1"	3.0978294630172	123.414719364875	155.158759090259	20.3874525899262	0	6.77879865120935	41.3036310548846	0
"CRY1"	7.33624405658352	10.2103987128881	2.03263887415545	7.77862883547933	13.5765180916617	8.7334537043207	7.26742813134072	6.49143586900511
"NFIX"	4.47758174866732	13.5616961975639	1.83640844140227	0	2.28242688560449	0	0.936286002482308	4.65132617989265
"ST3GAL1"	68.1046094794398	39.0142370333104	29.9102583226724	17.3203959667388	65.9675345469209	70.8472623072977	53.254766939496	50.9664743916197
"MMP25"	0	3.25335754965179	8.95195616431011	0	0	0	2.23481772550604	0
"IL32"	38.850863295467	28.5837813706653	64.1908300258778	461.972611280841	1716.35753043532	1687.88873243205	88.6352943698606	3219.96836157774
"PKD1"	0	25.0264433309388	11.7169533710916	5.91688707913311	6.64969029216212	9.81117196689948	2.82200829677626	2.96274371958703
"MAPK8IP2"	0	0	0	0	0	0	0	0
"MED24"	9.84761694817675	16.9559791535204	8.64039307127389	14.1724255156888	2.41978770578022	22.0799801163936	11.694604304381	28.1234442281008
"RHOBTB2"	2.21145828556813	2.37867917979145	0	0	2.17796137022009	0	2.69128932337836	0
"HEATR5B"	3.61488366757232	9.06772447008922	8.49533790724376	0	15.6851025999451	7.72479826672684	7.25059957945406	5.9124213405987
"SEC62"	369.056931333666	309.465871217243	289.073341527837	122.323534779349	195.615150304228	144.843042834575	157.198422873548	145.296009416223
"RPS20"	3448.68786241454	2230.34785686261	2091.65784481012	1270.4126489817	3469.49140454064	2420.93277652451	1945.97313048981	1789.33706530703
"CSDE1"	169.516406490852	157.703956375795	115.171419171853	109.29148303614	141.053994680035	114.220928612707	154.684061384484	110.681636059637
"UBE3C"	9.72217102177978	11.0181643271613	23.0413617114585	15.8358884689881	6.04403185962996	12.3712733401174	7.91109021663559	20.5290303557997
"REV3L"	43.6463764222467	6.57006122939017	74.8147947603773	38.5607082027041	12.1611322371727	13.3534297807665	91.3589650921077	50.0380368286226
"TENM1"	0	0	0	2.92062492477674	0	0	0	0
"MASP2"	0	0	0	0	0	0	0	0
"IYD"	3.28907872957796	0	0	0	0	0	0	0
"FAM76A"	7.98496697287543	23.4025587298643	8.64799469472888	15.3725522309575	2.65378103995491	6.27935840679314	9.24307409046586	5.66522916841158
"TRAF3IP3"	124.350433454157	8.66624100085297	30.2110173510791	184.206140946584	167.867566971991	180.635380501214	25.7669494551179	177.899370660106
"POMT2"	0	3.37749781934972	1.59673429309458	0	0	0	3.16874288490433	0
"VTA1"	18.6218926379063	16.7362996583489	8.35575162590233	15.1090443952517	19.1238054675475	15.1723880621348	15.1857864533617	2.89267228476799
"MLXIPL"	0	0	1.59673429309458	0	0	0	0	0
"BAZ1B"	22.936851764688	28.1449396052895	6.77831714015403	51.4822047753821	22.3288822677711	41.0488840708019	25.3599371469352	18.7509300696338
"RANBP9"	6.73184674117115	5.98433301195168	21.124642604089	9.24580541171182	21.9179490697469	3.73520209986293	5.20458838490895	20.0172226337148
"ETV7"	0	0.805126836254004	0	0	0	3.95558716041336	3.46920674824504	67.4691559964803
"SPRTN"	6.82203688241568	0.652431002903814	2.24048212543464	32.1214369199211	29.1615833889575	30.3242520837204	5.7725989983057	25.6165108648197
"EEF1AKNMT"	14.0513885108468	6.51278370821131	0	40.2848761513511	2.99729264168264	15.0944224650057	6.09852580056169	31.8012371341987
"DYRK4"	19.0705685921177	23.9638193176807	21.2725457048534	10.4137170839215	0	9.20353078234263	10.134196960303	18.3671575197044
"ZNF207"	103.701657824975	97.6683653619219	96.5370940487906	130.938216259479	55.9255082528923	101.810794006248	101.76020713946	89.0857441962175
"UQCRC1"	21.2057908933033	134.588403100472	110.075027937251	40.8567577870605	43.0513774197237	49.9226129307592	92.109037459457	21.5320894494663
"STARD3NL"	20.34722247865	42.8554418566666	38.5290945710917	127.897970157589	16.724260975026	42.3029120394962	26.061460783413	21.0278030510131
"CD9"	25.8295481563407	756.882545575224	105.879331240891	20.8019441484239	26.7952009114403	25.3094031256337	211.337258710034	17.4789866218183
"HHATL"	0	0	0	0	0	0	0	0
"NCAPD2"	5.56415493090669	4.28868997924521	4.39977312052333	0.406904703817399	14.9475939298953	9.24388183829937	1.61044624633056	13.5623527710126
"IFFO1"	3.84954379410528	24.2277967934286	1.24279608344932	2.59706826890098	0	31.3095533660919	22.3935646770912	15.5072269055153
"GIPR"	0	0.705688453234521	2.24331771438443	0	0	0	13.3786536608446	7.73578271856502
